name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Dirk Nowitzki","Dallas Mavericks",2017-10-30,2017,609,1610612742,400974849,1,6,18,1,"Jump Shot","3PT Field Goal",25,"Utah Jazz",131,221,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-30,2017,609,1610612742,400974849,2,9,00,0,"Jump Shot","2PT Field Goal",18,"Utah Jazz",-103,159,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-30,2017,609,1610612742,400974849,2,10,28,1,"Jump Shot","3PT Field Goal",24,"Utah Jazz",-65,236,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-30,2017,609,1610612742,400974849,4,9,19,1,"Jump Shot","3PT Field Goal",24,"Utah Jazz",118,217,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-22,2017,609,1610612742,400975011,2,0,32,1,"Jump Shot","3PT Field Goal",26,"Memphis Grizzlies",-82,256,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-23,2017,609,1610612742,400974796,1,11,17,0,"Jump Shot","2PT Field Goal",20,"Golden State Warriors",-93,183,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-23,2017,609,1610612742,400974796,1,7,10,0,"Jump Shot","2PT Field Goal",18,"Golden State Warriors",-100,159,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-23,2017,609,1610612742,400974796,3,8,43,0,"Jump Shot","2PT Field Goal",15,"Golden State Warriors",-146,52,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-23,2017,609,1610612742,400974796,2,0,34,0,"Jump Shot","2PT Field Goal",22,"Golden State Warriors",2,227,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-23,2017,609,1610612742,400974796,4,10,17,1,"Jump Shot","2PT Field Goal",19,"Golden State Warriors",0,198,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-23,2017,609,1610612742,400974796,3,10,12,0,"Jump Shot","2PT Field Goal",21,"Golden State Warriors",-69,199,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-23,2017,609,1610612742,400974796,4,7,28,0,"Jump Shot","2PT Field Goal",17,"Golden State Warriors",89,156,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-14,2017,609,1610612742,400975168,2,7,05,1,"Jump Shot","3PT Field Goal",23,"Golden State Warriors",-232,22,0,0.00,,0.00,0.00
